name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"21.4434844005937, 87.02348429564694",2025-01-01,24.1,15.4,19.2,24.1,15.4,19.2,13.6,70.9,0,0,0,,0,0,34.2,20.9,4.5,1016,17.6,17.1,196.6,17,7,10,2025-01-01T06:19:58,2025-01-01T17:11:10,0.05,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-02,24,14.1,18.4,24,14.1,18.4,12.5,70,0,0,0,,0,0,31.7,20.5,10.7,1015.9,7.7,17.2,198.8,17.3,7,10,2025-01-02T06:20:17,2025-01-02T17:11:48,0.08,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-03,24,14,18.2,24,14,18.2,12.3,69.3,0,0,0,,0,0,30.2,18.7,12.4,1016,28.3,17.1,197,17,7,10,2025-01-03T06:20:34,2025-01-03T17:12:26,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-04,25.1,14.3,18.9,25.1,14.3,18.9,14.5,76.3,0,0,0,,0,0,25.6,14.4,3.7,1014.6,27,16.7,185.7,16,7,10,2025-01-04T06:20:50,2025-01-04T17:13:05,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-05,25.6,15.8,19.7,25.6,15.8,19.7,16,79.7,0,0,0,,0,0,24.8,15.5,12.5,1014.8,37.3,16.7,169.6,14.8,7,10,2025-01-05T06:21:05,2025-01-05T17:13:45,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-06,25.8,16,19.9,25.8,16,19.9,16.7,82.8,0,0,0,,0,0,18,11.2,229.3,1013.9,23.3,16.8,182.9,15.8,7,10,2025-01-06T06:21:19,2025-01-06T17:14:24,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-07,27.1,16.4,21,27.7,16.4,21,17.9,83.6,0,0,0,,0,0,18.7,11.9,209.5,1013.1,14,1101.2,191.8,16.7,7,10,2025-01-07T06:21:31,2025-01-07T17:15:04,0.25,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-08,25.1,16.4,20,25.1,16.4,20,14.8,72.7,0,0,0,,0,0,34.9,22.3,17,1014.5,11.4,17.8,194.7,16.8,7,10,2025-01-08T06:21:42,2025-01-08T17:15:44,0.3,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-09,24.1,14.4,18.6,24.1,14.4,18.6,14.2,76.3,0,0,0,,0,0,29.2,18.7,21.6,1017.2,1,16.8,200,17.3,7,10,2025-01-09T06:21:52,2025-01-09T17:16:25,0.33,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
"21.4434844005937, 87.02348429564694",2025-01-10,24,14.4,18.5,24,14.4,18.5,14,76.6,0,0,0,,0,0,28.1,17.6,9.4,1018.8,5.6,17.7,201.9,17.5,7,10,2025-01-10T06:22:00,2025-01-10T17:17:06,0.37,Clear,Clear conditions throughout the day.,clear-day,"42895099999,remote,42901099999,42894099999,42973099999"
